STATE;RATEWM;COUNTWM;LBWM;UBWM;LWM_UUS;LUS_UWM;ECOUNTWM
US;39.2476;570986;39.1452;39.35;-0.2048;-0.2048;570986
AL;36.9432;6975;36.0661;37.8203;-3.2839;1.3249;7339
AK;44.3002;200;37.2236;51.3768;-2.1264;-12.2316;227
AZ;41.1963;3815;39.8687;42.524;0.5187;-3.3788;3853
AR;34.4208;5106;33.4743;35.3674;-5.8757;3.7778;5820
CA;41.8365;51503;41.4719;42.2012;2.1219;-3.056;49315
CO;29.4937;4248;28.6042;30.3832;-10.7458;8.762;5680
CT;42.2582;9415;41.3966;43.1199;2.0466;-3.9747;8861
DE;45.0685;1390;42.6753;47.4617;3.3253;-8.3165;1223
DC;47.1988;1825;45.0033;49.3943;5.6533;-10.2491;1456
FL;46.7516;20982;46.1102;47.393;6.7602;-8.2478;18888
GA;39.342;8513;38.4898;40.1943;-0.8602;-1.0491;8469
HI;45.8789;265;39.9334;51.8243;0.5834;-12.6791;294
ID;23.951;1406;22.6943;25.2076;-16.6557;13.9376;2303
IL;40.8299;35868;40.404;41.2557;1.054;-2.1105;34105
IN;37.048;14733;36.4484;37.6476;-2.9016;1.4976;15374
IA;30.4003;8567;29.7559;31.0447;-9.5941;8.1005;10874
KS;30.6226;6206;29.8604;31.3848;-9.4896;7.7604;7851
KY;31.8277;8112;31.1336;32.5217;-8.2164;6.6235;9876
LA;53.9843;9190;52.8607;55.1079;13.5107;-15.9627;6727
ME;39.1001;3680;37.836;40.3643;-1.514;-1.2191;3630
MD;50.3761;10204;49.3774;51.3749;10.0274;-12.2297;8082
MA;40.797;19764;40.2259;41.3682;0.8759;-2.223;18855
MI;40.737;24940;40.2256;41.2483;0.8756;-2.1031;24086
MN;25.8133;8467;25.2622;26.3644;-14.0878;12.7808;12811
MS;38.3096;4329;37.1622;39.4569;-2.1878;-0.3117;4408
MO;38.7395;15933;38.1374;39.3416;-1.2126;-0.1964;15944
MT;32.4744;2061;31.0689;33.88;-8.2811;5.2652;2457
NE;28.8578;4142;27.9776;29.7379;-11.3724;9.4073;5553
NV;43.6011;1058;40.8817;46.3206;1.5317;-7.1754;1011
NH;40.9341;2476;39.3192;42.549;-0.0308;-3.4038;2354
NJ;48.6344;25206;48.0244;49.2444;8.6744;-10.0992;20675
NM;25.8882;1408;24.5109;27.2655;-14.8391;11.8797;2206
NY;45.6835;70014;45.3407;46.0262;5.9907;-6.881;60241
NC;30.9803;8040;30.2915;31.6691;-9.0585;7.4761;10118
ND;21.0664;1256;19.8994;22.2333;-19.4506;16.9119;2306
OH;39.5426;31599;39.1047;39.9805;-0.2453;-0.8353;30965
OK;36.2754;7606;35.4597;37.091;-3.8903;2.0542;8177
OR;35.3867;6273;34.5083;36.265;-4.8417;2.8802;6965
PA;39.2345;39914;38.8469;39.6221;-0.5031;-0.4769;39522
RI;45.0509;3562;43.561;46.5407;4.211;-7.3955;3102
SC;39.2515;4270;38.0384;40.4647;-1.3116;-1.3195;4251
SD;24.7989;1644;23.5965;26.0013;-15.7535;13.1439;2580
TN;34.658;8883;33.9327;35.3833;-5.4173;3.7619;9977
TX;40.0407;26629;39.5543;40.5272;0.2043;-1.382;26350
UT;22.919;1386;21.6995;24.1384;-17.6505;15.0068;2417
VT;39.0273;1495;37.0462;41.0083;-2.3038;-1.8631;1478
VA;40.4922;9648;39.6706;41.3139;0.3206;-2.1687;9404
WA;36.1122;9504;35.3843;36.8402;-3.9657;2.305;10300
WV;36.4409;5929;35.5111;37.3707;-3.8389;1.7745;6278
WI;27.7905;10568;27.2592;28.3218;-12.0908;10.8234;14845
WY;27.7904;779;25.8194;29.7614;-13.5306;9.3838;1100
