01001;94.4359;221;81.6601;107.2116;12.1594;-37.9201;165
01003;81.2672;845;75.7344;86.8;6.2337;-17.5085;737
01005;85.3274;164;72.0987;98.5562;2.598;-29.2647;132
01007;93.06;144;77.7693;108.3507;8.2686;-39.0592;108
01009;76.8747;349;68.7898;84.9595;-0.7109;-15.668;315
01011;78.9638;42;54.1888;103.7388;-15.3119;-34.4473;38
01013;75.372;156;63.4258;87.3182;-6.0749;-18.0267;147
01015;85.785;898;80.1447;91.4252;10.644;-22.1337;723
01017;69.809;270;61.4233;78.1947;-8.0774;-8.9032;271
01019;74.2882;180;63.3928;85.1836;-6.1079;-15.8921;169
01021;86.3327;311;76.711;95.9543;7.2103;-26.6628;250
01023;94.096;118;77.1031;111.0888;7.6024;-41.7973;87
01025;77.4753;168;65.7281;89.2225;-3.7726;-19.931;150
01027;69.1248;118;56.4175;81.8321;-13.0832;-12.5406;125
01029;70.2868;108;56.9206;83.6531;-12.5801;-14.3616;107
01031;84.1482;332;75.07;93.2265;5.5693;-23.935;275
01033;87.1487;494;79.4418;94.8555;9.9411;-25.564;390
01035;81.6715;117;66.6517;96.6914;-2.849;-27.3999;102
01037;61.5711;73;47.1518;75.9904;-22.3489;-6.6989;83
01039;85.8207;414;77.4995;94.142;7.9988;-24.8505;339
01041;81.6094;131;67.4087;95.8102;-2.092;-26.5187;114
01043;79.8305;663;73.7444;85.9166;4.2437;-16.6251;577
01045;78.041;273;68.7203;87.3618;-0.7804;-18.0703;242
01047;82.2;242;71.7698;92.6302;2.2691;-23.3387;205
01049;66.5896;456;60.4638;72.7154;-9.0369;-3.4239;478
01051;83.2798;359;74.6412;91.9184;5.1405;-22.6269;298
01053;97.5112;317;86.7819;108.2405;17.2812;-38.949;225
01055;87.702;1020;82.2874;93.1165;12.7867;-23.825;808
01057;77.1706;178;65.7707;88.5706;-3.73;-19.2791;160
01059;78.8262;283;69.6209;88.0315;0.1202;-18.74;251
01061;86.7508;270;76.3341;97.1675;6.8334;-27.876;216
01063;58.2623;24;33.5816;82.9431;-35.9191;-13.6516;28
01065;56.3289;52;40.7851;71.8726;-28.7156;-2.5811;66
01067;92.7274;135;76.8592;108.5956;7.3585;-39.3041;104
01069;85.0015;560;77.9194;92.0836;8.4187;-22.7921;456
01071;83.7263;445;75.9033;91.5492;6.4026;-22.2577;366
