01001;22.9774;70;17.5579;28.3969;-6.424;-4.5252;76
01003;28.2238;360;25.2564;31.1912;1.2745;-7.3195;314
01005;14.0073;36;8.849;19.1655;-15.1329;4.7062;63
01007;18.5414;36;12.34;24.7428;-11.6419;-0.8711;48
01009;16.5125;90;12.8965;20.1286;-11.0854;3.7431;135
01011;21.1384;15;9.5048;32.772;-14.4771;-8.9003;17
01013;13.9886;39;9.3192;18.6581;-14.6627;5.2136;70
01015;22.8264;321;20.304;25.3489;-3.6779;-1.4772;345
01017;18.6357;93;14.669;22.6025;-9.3129;1.2692;127
01019;21.4218;62;16.0249;26.8186;-7.957;-2.9469;72
01021;13.5034;61;9.9334;17.0734;-14.0485;6.7983;110
01023;15.6056;25;8.864;22.3471;-15.1179;1.5246;38
01025;12.5496;35;7.85;17.2492;-16.1319;6.6225;65
01027;13.9571;29;8.1859;19.7284;-15.796;4.1433;53
01029;13.3853;25;7.2289;19.5416;-16.753;4.3301;46
01031;16.2813;82;12.6828;19.8798;-11.2991;3.9919;123
01033;18.9963;139;15.8067;22.1858;-8.1752;1.6859;175
01035;9.9379;22;4.8008;15.075;-19.1811;8.7967;44
01037;21.832;31;13.8454;29.8187;-10.1365;-5.947;33
01039;15.0796;98;11.9657;18.1936;-12.0162;5.6781;157
01041;19.4888;38;12.8959;26.0816;-11.086;-2.2099;52
01043;18.6154;188;15.9015;21.3292;-8.0804;2.5425;254
01045;20.821;92;16.5139;25.128;-7.468;-1.2563;109
01047;21.0941;88;16.5261;25.6622;-7.4558;-1.7905;100
01049;15.1263;129;12.4446;17.8081;-11.5373;6.0636;215
01051;23.0457;122;18.8863;27.2052;-5.0956;-3.3335;131
01053;21.8506;93;17.2948;26.4064;-6.6871;-2.5347;104
01055;20.8485;328;18.547;23.15;-5.4349;0.7217;384
01057;12.9195;34;8.3964;17.4425;-15.5855;6.4292;70
01059;14.5739;69;11.0079;18.1399;-12.974;5.7318;114
01061;15.217;58;10.8902;19.5438;-13.0917;4.3279;94
01063;17.1553;8;3.6112;30.6994;-20.3707;-6.8277;13
01065;28.1176;33;17.7203;38.5149;-6.2616;-14.6432;30
01067;21.6396;41;14.6812;28.5981;-9.3007;-4.7264;46
01069;19.8317;175;16.8452;22.8182;-7.1367;1.0535;219
01071;19.4557;129;16.0572;22.8542;-7.9247;1.0175;163
01073;25.1786;1947;24.0388;26.3184;0.0569;-2.4467;1828
01075;14.1849;35;9.0855;19.2843;-14.8964;4.5874;62
01077;17.4259;194;14.94;19.9119;-9.0419;3.9598;278
01079;18.2123;67;13.7724;22.6522;-10.2095;1.2195;88
01081;21.0069;124;17.2756;24.7382;-6.7063;-0.8665;146
01083;20.2141;125;16.615;23.8132;-7.3669;0.0585;148
01085;24.372;16;11.2499;37.494;-12.732;-13.6223;15
01087;19.8348;17;8.5108;31.1587;-15.4711;-7.287;18
01089;24.4213;507;22.2888;26.5538;-1.6931;-2.6821;524
01091;24.5167;50;17.0088;32.0245;-6.9731;-8.1528;48
01093;15.8978;76;12.2253;19.5704;-11.7566;4.3013;119
01095;18.931;203;16.2845;21.5774;-7.6974;2.2943;266
01097;31.1862;1146;29.3644;33.0079;5.3825;-9.1362;898
