STATE;RATEWF;COUNTWF;LBWF;UBWF;LWF_UUS;LUS_UWF;ECOUNTWF
US;6.5673;108343;6.5282;6.6064;-0.0782;-0.0782;108343
AL;5.611;1198;5.2918;5.9302;-1.3146;0.598;1419
AK;8.1815;35;4.3889;11.9742;-2.2175;-5.446;31
AZ;6.6586;656;6.1432;7.174;-0.4632;-0.6458;675
AR;5.5249;865;5.1556;5.8941;-1.4508;0.6341;1027
CA;7.8274;11356;7.6833;7.9716;1.0769;-1.4434;9647
CO;5.6061;909;5.2402;5.9719;-1.3662;0.5563;1073
CT;6.656;1752;6.3439;6.968;-0.2625;-0.4398;1733
DE;7.7623;280;6.8483;8.6763;0.2419;-2.1481;242
DC;7.0131;388;6.3102;7.716;-0.2962;-1.1878;344
FL;7.3692;3603;7.1256;7.6128;0.5192;-1.0846;3396
GA;5.8202;1517;5.5261;6.1144;-1.0803;0.4138;1724
HI;9.2466;61;6.8359;11.6572;0.2295;-5.129;53
ID;4.7476;271;4.1799;5.3153;-2.4265;1.2129;375
IL;6.7987;6726;6.636;6.9613;0.0296;-0.4331;6429
IN;6.0938;2735;5.8651;6.3225;-0.7413;0.2057;2931
IA;4.9327;1571;4.6869;5.1785;-1.9195;1.3497;2045
KS;5.2391;1205;4.9414;5.5368;-1.665;0.9914;1493
KY;6.4781;1820;6.18;6.7762;-0.4264;-0.248;1832
LA;7.306;1438;6.9264;7.6856;0.32;-1.1574;1308
ME;6.0926;656;5.6239;6.5613;-0.9825;-0.0331;696
MD;7.2069;1758;6.8687;7.5452;0.2623;-1.017;1618
MA;6.4925;3976;6.2901;6.6949;-0.3163;-0.1667;3975
MI;6.207;4059;6.0155;6.3985;-0.5909;0.1297;4286
MN;5.0769;1777;4.8405;5.3133;-1.7659;1.2149;2274
MS;5.9573;749;5.5296;6.385;-1.0768;0.1432;830
MO;6.2004;2965;5.9762;6.4246;-0.6302;0.1036;3090
MT;5.0007;295;4.4255;5.5758;-2.1809;0.9524;387
NE;4.9886;793;4.6386;5.3386;-1.9678;1.1896;1015
NV;8.295;181;7.0476;9.5424;0.4412;-3.0142;150
NH;6.2891;444;5.701;6.8772;-0.9054;-0.349;466
NJ;7.6216;4618;7.4011;7.8421;0.7947;-1.3139;3992
NM;6.5514;371;5.8718;7.231;-0.7346;-0.7028;383
NY;7.5312;13372;7.4033;7.6592;0.7969;-1.131;11525
NC;4.6898;1404;4.4426;4.9369;-2.1638;1.5913;2008
ND;4.7585;267;4.1851;5.3319;-2.4213;1.1963;364
OH;6.7381;6115;6.569;6.9073;-0.0374;-0.3791;5923
OK;6.5717;1552;6.244;6.8994;-0.3624;-0.3712;1539
OR;6.2877;1160;5.9251;6.6503;-0.6813;-0.1221;1217
PA;6.4574;7521;6.3113;6.6035;-0.2951;-0.0753;7587
RI;6.0462;592;5.5576;6.5349;-1.0488;-0.0067;638
SC;6.0976;792;5.6685;6.5267;-0.9379;0.0015;870
SD;4.7021;309;4.1755;5.2287;-2.4309;1.2995;425
TN;5.7137;1673;5.4394;5.988;-1.167;0.5402;1932
TX;6.8537;5169;6.6664;7.041;0.06;-0.5128;5006
UT;3.4257;227;2.9775;3.8739;-3.6289;2.6543;441
VT;5.717;254;5.0074;6.4266;-1.599;0.1016;291
VA;6.7532;1901;6.4482;7.0583;-0.1582;-0.5301;1871
WA;6.3897;1776;6.0922;6.6873;-0.5142;-0.1591;1831
WV;6.6367;1137;6.2502;7.0231;-0.3562;-0.4949;1116
WI;4.8612;1976;4.6466;5.0759;-1.9598;1.4523;2650
WY;4.5192;118;3.6962;5.3423;-2.9102;1.1859;171
