varnames = FOB xcoord ycoord zcoord pitch roll yaw casenum
2 12.3 8.33 -6.27 109.64 20.48 19.31 92
3 16.13 2.69 -6.97 -151.41 -61.74 -6.48 93
1 9.7 15.12 -6.8 123.16 -4.39 13.23 94
2 12.3 8.33 -6.27 109.67 20.48 19.31 95
3 16.13 2.69 -6.97 -151.5 -61.68 -6.42 96
1 9.7 15.11 -6.8 123.16 -4.37 13.23 97
2 12.3 8.33 -6.27 109.64 20.46 19.29 98
3 16.13 2.69 -6.98 -151.48 -61.66 -6.46 99
1 9.69 15.11 -6.8 123.16 -4.35 13.25 100
2 12.3 8.33 -6.28 109.67 20.43 19.31 101
3 16.13 2.69 -6.99 -151.48 -61.68 -6.48 102
1 9.69 15.11 -6.8 123.16 -4.35 13.25 103
2 12.3 8.33 -6.27 109.67 20.43 19.31 104
3 16.13 2.68 -6.99 -151.48 -61.68 -6.48 105
1 9.69 15.11 -6.8 123.16 -4.33 13.23 106
2 12.3 8.32 -6.27 109.67 20.43 19.29 107
3 16.13 2.68 -6.99 -151.46 -61.68 -6.5 108
1 9.69 15.11 -6.8 123.18 -4.35 13.23 109
2 12.3 8.32 -6.27 109.67 20.41 19.29 110
3 16.13 2.68 -6.99 -151.46 -61.7 -6.53 111
1 9.69 15.11 -6.8 123.16 -4.28 13.25 112
2 12.3 8.32 -6.26 109.69 20.39 19.31 113
3 16.13 2.68 -6.99 -151.44 -61.68 -6.53 114
1 9.69 15.1 -6.8 123.18 -4.26 13.27 115
2 12.32 8.31 -6.26 109.69 20.37 19.34 116
3 16.13 2.68 -6.99 -151.41 -61.7 -6.55 117
1 9.69 15.1 -6.79 123.18 -4.24 13.27 118
2 12.33 8.3 -6.25 109.73 20.3 19.4 119
3 16.14 2.67 -6.99 -151.46 -61.68 -6.55 120
1 9.69 15.1 -6.79 123.2 -4.2 13.29 121
2 12.34 8.3 -6.24 109.73 20.26 19.4 122
3 16.14 2.66 -6.99 -151.44 -61.68 -6.53 123
1 9.69 15.09 -6.79 123.2 -4.13 13.32 124
2 12.34 8.29 -6.23 109.78 20.21 19.42 125
3 16.14 2.66 -6.98 -151.41 -61.66 -6.55 126
1 9.7 15.09 -6.78 123.2 -4.11 13.32 127
2 12.36 8.29 -6.21 109.8 20.17 19.42 128
3 16.15 2.66 -6.98 -151.35 -61.68 -6.64 129
1 9.7 15.09 -6.78 123.24 -4.06 13.32 130
2 12.35 8.29 -6.21 109.82 20.13 19.42 131
3 16.15 2.66 -6.98 -151.24 -61.68 -6.68 132
1 9.7 15.09 -6.78 123.24 -4.06 13.36 133
2 12.36 8.29 -6.21 109.8 20.13 19.4 134
3 16.15 2.66 -6.98 -151.24 -61.68 -6.68 135
