PercentUrbanTracts AverageHAP
94.7916666666667 52.3054544315677
71.3874022231371 45.9565094008211
65.6862745098039 43.8355160553014
69.8702628883578 42.6054177221846
49.7142857142857 37.5611214621143
60.6476592749032 34.7554320771564
58.2971329278888 33.7904648091995
53.1733501736659 32.8605672193303
47.1223021582734 31.1757070674184
49.3361285814116 30.1155784471138
39.7285067873303 29.9099315500841
43.5244686109738 29.9032463121955
48.4313725490196 29.0371193307018
57.8723404255319 28.6938322824
48.8253319713994 28.2092558003941
55.0617283950617 27.9787741181632
56.5740045078888 27.7051239758583
41.6666666666667 26.9563353121952
23.996723996724 26.5675257897462
38.5144429160935 25.501276325364
38.1055676066522 25.472296911089
39.7560975609756 25.2108683869724
37.5 24.7348111033231
20.9851551956815 24.5263230902737
37.8362223550508 24.3695352698425
39.0298507462687 23.1730971022976
45.7516339869281 23.0738625946253
19.7892271662763 22.5730407369997
23.0696798493409 22.3504641157847
50.25 22.2560876308903
26.0544217687075 21.9300673199532
18.4210526315789 21.3099967244895
45.724907063197 20.1022050805223
26.4794383149448 19.6944005752006
17.7589852008457 19.3223058543102
15.3184165232358 19.2756882039344
35.233918128655 18.3737886428173
31.5524193548387 17.6645438560794
30.7692307692308 17.4865972556431
12.4789207419899 17.4782367592481
34.304932735426 16.9194413876619
24.234693877551 16.7657360951276
19.7026022304833 16.616789418639
11.4583333333333 15.5449268189763
10.4972375690608 14.9817595075028
16.7832167832168 14.5807187985032
18.2741116751269 13.3428894669853
12.3456790123457 12.7137356512673
16.7400881057269 12.5207385310974
